城市,区,方位,房屋名,大小,租赁方式,朝向,月租,计费方式,几室,几厅,几卫,入住,租期,看房,所在楼层,总楼层,电梯,车位,用水,用电,燃气,供暖
2,7,47,146,22,1,3,1400,1,1,1,1,2,12,2,3,6,1,0,1,1,2,1
2,6,64,147,9,2,2,930,1,3,1,1,2,12,3,3,17,2,0,1,1,2,0
2,6,64,147,12,2,2,990,1,3,1,1,2,12,3,3,17,0,0,0,0,0,0
2,6,64,147,9,2,4,890,1,3,1,1,2,12,3,3,18,0,0,0,0,0,0
2,5,56,148,26,1,6,1500,1,1,0,1,2,24,2,1,7,1,0,0,1,2,1
2,4,17,149,40,1,2,1100,0,1,1,1,2,0,2,3,6,1,0,1,1,1,1
2,2,65,150,74,1,2,1200,0,4,0,1,2,0,2,3,17,1,0,0,0,2,0
2,7,10,151,26,1,2,1500,0,1,1,1,2,0,2,3,7,2,0,1,1,2,1
2,15,53,152,14,2,2,790,1,4,1,1,2,12,3,3,32,1,0,1,1,2,0
2,6,7,153,16,2,2,650,3,4,1,1,2,1,3,3,9,2,1,1,1,2,1
2,10,46,154,17,1,2,800,0,1,0,0,2,0,2,3,5,1,0,1,1,2,1
2,2,65,155,30,1,2,1200,1,1,0,1,2,12,2,3,6,1,0,1,1,2,1
2,16,66,156,50,1,2,850,0,1,1,1,2,0,2,3,4,1,0,1,1,2,1
2,2,5,157,21,2,4,1180,3,3,1,1,2,24,3,3,9,2,0,1,1,2,0
2,5,40,158,55,1,7,2000,1,1,0,1,2,12,2,3,3,1,0,0,0,0,0
2,4,67,159,36,1,2,1200,1,1,1,1,2,12,2,3,5,1,0,1,1,2,1
2,3,20,160,55,1,2,550,0,2,1,1,2,0,4,3,3,1,0,0,0,2,1
2,7,14,161,10,2,4,1460,1,2,1,1,2,12,3,3,8,0,0,0,0,0,0
2,9,19,27,20,2,2,1100,3,3,1,1,2,12,3,3,7,1,1,1,1,2,1
2,8,12,162,34,1,2,1200,0,1,1,1,2,0,2,2,4,1,0,1,1,2,1
2,5,40,60,56,1,4,2100,0,1,1,1,2,0,2,3,50,2,0,1,1,2,1
2,2,22,163,15,2,2,800,0,1,0,1,2,0,2,2,5,1,0,1,1,2,1
2,9,19,27,20,2,2,1100,3,3,1,1,2,12,3,3,6,1,1,1,1,2,1
2,4,51,164,10,2,2,1230,1,3,1,1,2,12,3,3,33,0,0,0,0,0,0
2,2,27,165,18,1,2,1000,0,1,1,1,2,0,2,3,5,1,0,1,1,2,1
2,2,27,166,14,2,2,800,1,1,0,1,2,12,2,3,7,1,0,1,1,2,1
2,11,28,167,90,1,2,800,2,2,2,1,2,0,2,3,22,2,0,1,1,2,1
2,13,53,168,12,2,2,790,1,3,1,1,2,12,3,3,39,1,0,1,1,2,0
2,13,53,168,11,2,8,730,1,4,1,1,2,12,3,3,33,1,0,1,1,2,0
2,10,44,169,22,1,2,800,0,1,1,1,2,0,2,3,4,1,0,1,1,2,1
2,7,21,170,33,1,2,1500,0,1,1,1,2,0,2,3,5,1,0,1,1,2,1
2,14,68,171,95,1,2,850,0,2,1,1,2,0,2,2,18,2,0,1,1,2,1
2,4,17,172,14,2,8,1000,1,5,1,1,2,12,3,3,20,2,1,1,1,1,1
2,7,21,173,20,2,2,1050,1,2,1,1,2,12,3,3,5,2,2,1,1,2,1
2,1,69,174,75,1,2,2300,0,1,1,1,2,0,2,1,18,2,0,1,1,2,1
2,7,11,175,61,1,6,1300,1,2,1,1,2,12,2,3,6,1,0,1,1,2,1
2,7,11,13,25,1,2,1300,0,1,1,1,2,0,2,3,6,1,0,1,1,2,1
2,2,38,176,25,2,2,1190,3,3,1,1,2,24,3,3,14,2,0,1,1,2,0
2,4,23,177,13,2,2,1230,1,3,1,1,2,12,3,3,6,1,0,1,1,2,0
2,5,16,178,37,1,3,1900,0,1,1,1,2,0,2,3,6,1,0,1,1,2,1
2,5,40,179,55,1,2,1800,0,2,1,1,2,0,2,2,5,1,0,1,1,2,1
2,7,29,46,38,1,2,1300,0,1,1,1,2,0,2,3,8,1,0,1,1,2,1
2,2,42,180,35,1,2,700,0,2,1,1,2,0,2,2,5,1,0,1,1,2,1
2,5,16,181,30,1,2,2000,1,1,1,1,2,12,2,1,7,1,0,1,1,2,1
2,4,23,177,12,2,4,1230,1,3,1,1,2,12,3,3,9,0,0,0,0,0,0
2,13,52,182,96,1,2,1000,0,2,1,1,1,0,2,1,6,2,0,1,1,2,1
2,4,70,183,13,2,2,1190,1,4,1,2,2,12,3,3,6,1,0,1,1,2,0
2,10,46,184,40,1,2,1200,1,1,1,1,2,24,2,3,6,1,0,1,1,2,1
2,6,64,185,83,1,2,800,1,2,1,1,2,36,2,1,24,2,0,1,1,2,1
2,5,40,186,27,1,2,1200,0,1,1,0,2,0,2,1,6,1,0,1,1,2,1
2,14,71,187,12,2,2,600,1,1,1,1,2,24,2,3,5,1,0,1,1,2,1
2,7,47,188,38,1,2,1400,0,1,1,1,2,0,2,3,7,1,0,1,1,2,1
2,4,70,183,16,2,2,1000,3,4,1,1,2,12,3,3,6,1,1,1,1,2,1
2,7,14,189,13,1,2,900,0,1,0,0,2,0,2,-2,6,1,0,1,1,2,1
2,4,4,4,11,2,1,950,1,3,1,1,2,36,3,3,6,1,0,1,1,2,1
2,5,8,190,45,1,2,1700,1,1,1,1,2,12,2,3,7,1,0,1,1,2,1
2,4,4,4,11,2,2,950,1,5,1,1,2,12,3,3,6,1,0,1,1,2,1
2,7,21,191,38,1,2,1200,0,1,1,1,2,0,2,3,6,1,0,1,1,2,1
2,2,22,139,14,1,3,900,0,1,0,1,2,0,2,3,8,1,0,1,1,2,1
2,11,72,192,93,1,2,900,0,2,1,1,2,0,2,3,6,1,0,1,1,2,1
2,14,73,193,43,1,2,1000,0,1,1,1,2,0,2,3,6,1,0,1,1,2,1
2,8,57,194,64,1,2,1200,0,1,1,1,2,0,2,3,7,1,0,1,1,2,1
2,4,4,4,16,2,2,950,3,3,1,1,2,12,3,3,6,1,1,1,1,2,1
2,14,74,195,22,1,2,680,1,1,1,1,2,12,2,-2,5,1,0,1,1,2,1
2,4,4,4,15,2,2,1000,3,5,1,1,2,12,3,3,6,1,1,1,1,2,1
2,2,65,196,39,1,2,1200,1,1,1,1,2,12,2,3,6,1,0,1,1,2,1
2,2,22,197,15,2,2,750,3,4,1,1,2,5,3,3,5,1,1,1,1,2,1
2,7,35,50,35,1,4,1400,0,1,1,1,2,0,2,3,8,1,0,1,1,2,1
2,2,38,198,10,2,2,601,3,4,1,1,2,12,3,3,6,1,1,1,1,2,1
2,3,20,199,55,1,2,1000,1,2,1,1,2,12,2,3,6,1,0,1,1,2,1
2,4,25,200,12,2,4,1230,1,3,1,1,2,12,3,3,7,1,0,1,1,2,0
2,2,42,201,44,1,2,1200,0,1,1,1,2,0,2,2,6,1,0,1,1,2,1
2,4,25,200,18,2,2,1200,3,4,1,1,2,12,3,3,7,1,2,1,1,2,1
2,6,75,202,6,2,2,890,1,4,1,2,2,12,3,3,18,0,0,0,0,0,0
2,12,48,203,88,1,2,500,1,2,1,1,2,12,2,2,16,1,0,1,1,2,1
2,2,76,204,15,1,2,1250,0,3,1,2,2,0,2,2,6,1,0,1,1,2,1
2,4,9,205,14,1,2,850,0,1,1,1,2,0,4,3,7,1,0,1,1,2,1
2,7,13,206,15,2,2,1030,1,4,1,2,2,12,3,3,3,1,2,1,1,2,1
2,10,45,207,20,2,6,1100,3,4,1,2,2,12,3,3,50,2,0,1,1,1,1
2,7,30,208,86,1,2,1300,0,2,1,1,2,0,2,2,33,2,0,1,1,2,1
2,8,37,209,125,1,2,1300,0,3,2,2,2,0,2,3,11,2,0,1,1,2,1
2,8,57,112,39,1,2,1400,0,1,1,1,2,0,2,3,5,1,0,1,1,2,1
2,2,76,210,8,2,4,1290,1,3,1,1,2,12,3,3,6,1,0,1,1,2,0
2,2,76,210,12,2,2,1290,1,3,1,1,2,12,3,3,6,1,0,1,1,2,0
2,7,29,40,40,1,2,1400,0,1,1,1,2,0,2,3,7,1,0,1,1,2,1
2,4,25,211,24,1,2,800,0,1,1,1,2,0,2,2,5,1,0,1,1,2,1
2,5,6,212,18,1,2,1000,1,1,0,0,2,36,2,2,3,1,0,0,1,1,2
2,2,76,210,16,2,2,1030,3,3,1,1,2,12,3,3,6,1,0,1,1,2,1
2,2,76,210,11,2,2,1260,1,3,1,1,2,12,3,3,11,0,0,0,0,0,0
2,5,6,213,28,1,5,1200,0,1,0,1,2,0,2,3,4,1,0,1,1,2,1
2,5,40,214,15,1,8,1500,0,1,0,1,2,0,2,1,6,1,0,0,0,0,0
2,8,60,215,37,1,2,1000,0,1,1,1,2,0,2,3,6,1,0,1,1,2,1
2,2,76,210,15,2,2,1000,3,3,1,1,2,12,3,3,6,1,0,1,1,2,1
2,9,19,116,15,2,2,900,3,4,1,1,2,12,3,3,14,2,1,1,1,2,1
2,5,77,216,22,1,3,950,1,1,0,0,2,12,2,3,3,1,0,0,1,2,1
2,9,78,217,42,1,2,1100,0,1,1,1,2,0,2,3,7,1,0,0,0,2,1
2,4,51,218,30,1,1,1100,0,1,1,1,2,0,2,3,5,1,0,0,0,2,1
2,9,19,116,13,2,2,850,3,4,1,1,2,12,3,3,14,2,1,1,1,2,1
2,2,76,219,15,2,2,1150,3,4,1,1,2,12,3,3,6,1,0,1,1,2,1
2,10,46,137,30,1,2,1000,1,1,1,1,2,24,2,2,6,1,0,1,1,2,1
2,7,29,125,37,1,2,1500,0,1,1,1,2,0,2,-2,7,1,0,1,1,2,1
2,6,79,220,39,1,2,1000,0,1,1,1,2,0,2,2,6,1,0,1,1,2,1
2,4,55,221,18,1,2,800,1,1,0,0,2,12,2,1,6,1,0,1,1,2,1
2,8,39,222,76,1,2,1200,0,2,1,1,2,0,2,3,7,1,0,1,1,2,1
2,2,76,223,15,2,2,1050,3,3,1,1,2,12,3,3,6,1,0,1,1,2,1
2,5,6,224,29,1,2,2000,0,2,0,0,2,0,2,3,2,1,0,0,0,0,0
2,2,76,223,14,2,2,1000,3,4,1,1,2,12,3,3,6,1,0,1,1,2,1
2,9,31,225,46,1,4,600,0,1,0,0,2,0,2,1,6,1,0,1,1,2,1
2,5,8,44,36,1,2,1900,0,1,0,1,2,0,2,2,6,1,0,1,1,2,1
2,13,53,226,88,1,2,850,0,2,1,1,2,0,2,3,6,1,0,0,0,1,1
2,5,16,227,49,1,2,1900,0,1,1,1,2,0,2,2,6,1,0,1,1,2,1
2,8,80,228,110,1,2,1200,0,2,1,1,2,0,2,3,34,2,0,1,1,2,1
2,2,76,223,14,2,2,1090,3,3,1,1,2,12,3,3,6,1,0,1,1,2,1
2,3,20,229,39,1,2,900,0,1,1,1,2,0,2,2,6,1,0,1,1,2,1
2,2,76,223,16,2,2,1080,3,3,1,1,2,12,3,3,6,1,0,1,1,2,1
2,12,81,230,98,1,2,720,1,3,1,1,2,12,2,3,3,1,0,1,1,2,1
2,2,76,223,18,2,2,1290,3,4,1,1,2,12,3,3,6,1,0,1,1,2,1
2,5,77,231,23,1,2,1500,0,2,0,1,2,0,2,1,2,1,0,0,0,2,1
2,7,11,73,24,1,2,1000,1,1,1,1,2,12,2,1,5,1,0,1,1,2,1
2,4,55,221,16,1,2,550,1,1,0,0,2,12,2,1,6,1,0,1,1,2,1
2,13,53,232,48,1,2,800,0,1,1,1,2,0,2,3,6,1,0,0,0,2,1
2,7,13,206,28,1,4,900,0,1,0,0,2,0,2,3,4,1,0,1,1,2,1
2,2,76,223,16,2,2,1090,3,3,1,1,2,12,3,3,6,1,0,1,1,2,1
2,3,20,233,40,1,2,800,0,1,1,1,2,0,2,3,6,1,0,1,1,2,1
2,2,76,223,16,2,2,1190,3,3,1,1,2,12,3,3,6,1,0,1,1,2,1
